frame_index,time_sec,yaw,pitch,roll,raw_yaw,raw_pitch,raw_roll,smoothed_yaw,smoothed_pitch,smoothed_roll,confidence,yaw_confidence,pitch_confidence,roll_confidence,status,warnings,detected_line_count,near_horizontal_count,near_vertical_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count,selected_horizon_y_at_center,selected_vanishing_point_x,selected_vanishing_point_y
127,12.7,-46.97,-0.7,-0.0,-46.97,-0.7,-0.0,,,,0.92,0.98,0.94,0.83,full,[],37,9,5,23,187,6,194.61,420.68,170.8
128,12.8,-43.25,0.35,-0.0,-43.25,0.35,-0.0,,,,0.92,0.98,0.95,0.84,full,[],37,8,4,25,236,5,183.19,445.09,189.21
129,12.9,-44.09,-0.33,0.58,-44.09,-0.33,0.58,,,,0.93,0.97,0.98,0.83,full,[],37,8,7,22,176,5,190.56,439.86,189.7
130,13.0,-45.9,-1.8,-0.0,-45.9,-1.8,-0.0,,,,0.91,0.97,0.94,0.83,full,[],34,7,5,22,170,5,206.54,428.0,183.01
131,13.1,-46.65,-0.56,0.95,-46.65,-0.56,0.95,,,,0.92,0.98,0.96,0.83,full,[],34,9,7,18,124,7,193.05,422.92,190.29
132,13.2,-45.75,-1.02,0.88,-45.75,-1.02,0.88,,,,0.9,0.99,0.87,0.83,full,[],31,6,6,19,138,4,198.1,429.05,189.97
133,13.3,-45.64,-0.89,2.29,-45.64,-0.89,2.29,,,,0.92,0.99,0.94,0.82,full,[],28,5,5,18,123,5,196.6,429.79,194.3
134,13.4,-46.37,-0.47,1.75,-46.37,-0.47,1.75,,,,0.92,0.99,0.92,0.84,full,[],35,6,10,19,133,5,192.06,424.86,189.07
135,13.5,-46.19,0.31,0.9,-46.19,0.31,0.9,,,,0.91,1.0,0.92,0.81,full,[],32,10,3,19,143,8,183.59,426.07,182.65
136,13.6,-45.89,-0.96,1.7,-45.89,-0.96,1.7,,,,0.91,1.0,0.91,0.83,full,[],29,8,4,17,103,7,197.37,428.09,180.6
137,13.7,-43.74,-0.28,0.88,-43.74,-0.28,0.88,,,,0.91,1.0,0.92,0.82,full,[],34,10,9,15,86,9,190.0,442.02,185.81
138,13.8,-42.9,-3.58,0.86,-42.9,-3.58,0.86,,,,0.86,1.0,0.76,0.82,full,[],34,8,9,17,104,4,225.81,447.25,175.3
139,13.9,-41.5,-0.41,1.51,-41.5,-0.41,1.51,,,,0.89,1.0,0.85,0.82,full,[],37,14,9,14,55,10,191.47,455.53,171.84
140,14.0,-38.93,0.58,1.17,-38.93,0.58,1.17,,,,0.9,1.0,0.88,0.82,full,[],30,13,6,11,39,9,180.72,469.94,172.27
141,14.1,-36.03,-0.81,0.95,-36.03,-0.81,0.95,,,,0.91,1.0,0.94,0.8,full,[],47,22,6,19,136,16,195.83,484.98,168.44
142,14.2,-30.59,0.25,1.86,-30.59,0.25,1.86,,,,0.9,0.99,0.9,0.8,full,[],34,13,10,11,45,10,184.31,510.47,166.82
143,14.3,-32.03,1.5,2.75,-32.03,1.5,2.75,,,,0.91,1.0,0.92,0.8,full,[],25,5,4,16,94,5,170.77,504.0,175.08
144,14.4,-29.51,1.1,3.13,-29.51,1.1,3.13,,,,0.91,1.0,0.91,0.83,full,[],32,11,6,15,81,9,175.04,515.17,173.07
145,14.5,-26.03,-0.05,1.68,-26.03,-0.05,1.68,,,,0.88,0.99,0.86,0.8,full,[],29,15,2,12,56,10,187.51,529.67,186.11
146,14.6,-26.55,0.55,3.32,-26.55,0.55,3.32,,,,0.9,0.98,0.89,0.82,full,[],28,15,2,11,47,12,181.08,527.56,189.18
147,14.7,-22.13,0.45,2.52,-22.13,0.45,2.52,,,,0.89,0.98,0.84,0.84,full,[],38,12,7,19,149,11,182.08,544.95,189.77
148,14.8,-19.8,0.23,-0.0,-19.8,0.23,-0.0,,,,0.89,0.99,0.87,0.82,full,[],39,16,6,17,118,15,184.55,553.69,171.2
149,14.9,-16.99,0.46,-0.0,-16.99,0.46,-0.0,,,,0.92,1.0,0.92,0.84,full,[],34,11,5,18,128,10,182.0,563.88,168.07
150,15.0,-11.15,0.29,-0.0,-11.15,0.29,-0.0,,,,0.91,0.99,0.9,0.83,full,[],28,12,4,12,57,11,183.85,584.13,184.7
151,15.1,-12.53,0.65,-0.0,-12.53,0.65,-0.0,,,,0.94,0.99,0.96,0.86,full,[],32,15,3,14,83,12,180.0,579.43,167.95
152,15.2,-11.83,0.18,-0.0,-11.83,0.18,-0.0,,,,0.94,1.0,0.97,0.85,full,[],25,8,7,10,38,8,185.0,581.84,172.67
153,15.3,-11.79,-0.02,0.82,-11.79,-0.02,0.82,,,,0.92,0.99,0.95,0.83,full,[],33,14,10,9,28,14,187.21,581.98,181.24
